id,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,ocupacion_estimada,tipo_tenedor,superhost
51762909,Centro,40.4251,-3.70955,Entire rental unit,2,1.0,1.0,1.0,$98.00,1,1125,137,4.55,4.79,4.61,4.88,4.71,4.94,4.55,92,10,Gran tenedor (>20),0
51765907,Centro,40.41044,-3.70665,Entire loft,2,1.5,1.0,1.0,$153.00,2,365,314,4.93,4.95,4.94,4.93,4.94,4.92,4.87,3,109,Mediano (2-5),1
51809103,Arganzuela,40.39122,-3.69313,Private room in rental unit,2,1.0,1.0,1.0,$17.00,10,365,9,4.78,4.67,4.44,4.89,4.78,5.0,4.44,6,191,Profesional (6-20),0
51811230,Ciudad Lineal,40.42487,-3.64039,Entire rental unit,4,1.0,1.0,2.0,$115.00,3,365,6,4.83,5.0,4.83,5.0,4.67,4.33,4.17,4,62,Mediano (2-5),1
51811411,Latina,40.39199,-3.74432,Private room in rental unit,1,,,,,6,11,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,365,Pequeño (1),0
51817414,Centro,40.42198,-3.70279,Entire rental unit,6,2.0,2.0,3.0,$250.00,1,30,308,4.88,4.87,4.82,4.89,4.93,4.93,4.81,1,146,Pequeño (1),1
51842476,Centro,40.41691,-3.71337,Entire rental unit,6,2.0,2.0,3.0,$210.00,1,365,129,4.77,4.81,4.89,4.68,4.88,4.96,4.73,292,51,Gran tenedor (>20),0
51861664,Retiro,40.40765,-3.66894,Entire rental unit,6,2.0,2.0,3.0,$158.00,2,365,78,4.81,4.79,4.72,4.92,4.87,4.76,4.69,1,246,Pequeño (1),0
51862753,Centro,40.41705,-3.70054,Private room in hostel,1,,1.0,,,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,60,Mediano (2-5),0
51903639,Centro,40.41168,-3.70605,Entire loft,2,1.5,1.0,1.0,$123.00,2,1125,352,4.94,4.92,4.97,4.9,4.94,4.91,4.9,3,62,Mediano (2-5),1
