"host_id","hosts_time_as_host_years","host_location","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","minimum_nights","maximum_nights","availability_365","license","calculated_host_listings_count","calculated_host_listings_count_entire_homes","ocupacion_estimada","tipo_tenedor","superhost"
151263090,8,"Barcelona, Spain","t","L'Antiga Esquerra de l'Eixample",1,1,"la Nova Esquerra de l'Eixample","Eixample",41.38523,2.14922,2,365,164,"Barcelona - Regional registration number<br />HUTB-007891",1,1,201,"Pequeño (1)",1
253274235,6,"","t","Sants-Montjuïc",1,1,"Sants","Sants-Montjuïc",41.37335,2.13754,3,29,155,"Spain - National registration number<br />ESFCTU00000806500040723700000000000000000HUTB-0125639<br /><br />Barcelona - Regional registration number<br />HUTB-012563",1,1,210,"Pequeño (1)",1
253465692,6,"","f","Vila de Gràcia",31,41,"la Vila de Gràcia","Gràcia",41.39822,2.15441,32,360,122,"",31,31,243,"Gran tenedor (>20)",0
44445863,6,"Barcelona, Spain","t","Sants-Montjuïc",1,1,"Hostafrancs","Sants-Montjuïc",41.37729,2.14191,31,89,222,"Spain - National registration number<br />ESHFNT00000806700035857100100000000000000000000000007",1,0,143,"Pequeño (1)",1
35936647,10,"Barcelona, Spain","t","Sant Antoni",44,44,"l'Antiga Esquerra de l'Eixample","Eixample",41.3870315551758,2.15681505203247,1,365,348,"Barcelona - Regional registration number<br />HUTB-004231<br /><br />Spain - National registration number<br />ESHFTU00000806000002825300700000000000000HUTB-0042312",44,44,17,"Gran tenedor (>20)",1
35936647,10,"Barcelona, Spain","t","Sant Antoni",44,44,"l'Antiga Esquerra de l'Eixample","Eixample",41.3870315551758,2.15681505203247,1,365,346,"Barcelona - Regional registration number<br />HUTB-004242<br /><br />Spain - National registration number<br />ESHFTU000008060000028253002000000000000000HUTB-042427",44,44,19,"Gran tenedor (>20)",1
253465692,6,"","f","Vila de Gràcia",31,41,"la Vila de Gràcia","Gràcia",41.39822,2.15441,32,360,136,"",31,31,229,"Gran tenedor (>20)",0
3556337,13,"Barcelona, Spain","t","Sant Antoni",86,93,"la Vila de Gràcia","Gràcia",41.40315,2.15671,1,365,324,"Barcelona - Regional registration number<br />HUTB-006010<br /><br />Spain - National registration number<br />ESFCTU00000806600042348700000000000000000HUTB-0060103",85,85,41,"Gran tenedor (>20)",1
525793,14,"Barcelona, Spain","f","Dreta de l'Eixample",3,6,"la Dreta de l'Eixample","Eixample",41.39605,2.17665,2,30,222,"Barcelona - Regional registration number<br />HUTB-001172",1,1,143,"Pequeño (1)",0
1227056,5,"Barcelona, Spain","f","Sants-Montjuïc",1,1,"Sants","Sants-Montjuïc",41.37333,2.13305,32,96,178,"",1,0,187,"Pequeño (1)",0
555252525,1,"","f","",5,5,"Sant Antoni","Eixample",41.37585,2.15412,4,30,180,"Spain - National registration number<br />ESFCTU00000806900001627700000000000000000HUTB-0086842",5,5,185,"Mediano (2-5)",0
254288676,6,"","f","El Gòtic",4,4,"el Barri Gòtic","Ciutat Vella",41.38212,2.17535,3,28,125,"Barcelona - Regional registration number<br />HUTB-004007<br /><br />Spain - National registration number<br />ESFCTU00000805400000932900000000000000000HUTB-0040077",4,4,240,"Mediano (2-5)",0
47171261,10,"Barcelona, Spain","f","La Vila Olímpica",107,139,"la Barceloneta","Ciutat Vella",41.38067,2.19006,32,320,278,"Spain - National registration number<br />ESFCNT00000811900023940100000000000000000000000000007",60,60,87,"Gran tenedor (>20)",0
3039107,13,"Barcelona, Spain","f","La Nova Esquerra de l'Eixample",38,116,"el Raval","Ciutat Vella",41.37713,2.16896,31,1125,167,"",28,28,198,"Gran tenedor (>20)",0
250093014,6,"Barcelona, Spain","f","L'Antiga Esquerra de l'Eixample",16,17,"l'Antiga Esquerra de l'Eixample","Eixample",41.38985,2.15834,1,365,192,"Spain - National registration number<br />ESHFNT00000805600030445900200000000000000000000000000",16,12,173,"Profesional (6-20)",0
1766283,13,"Barcelona, Spain","f","",15,15,"el Poblenou","Sant Martí",41.40083,2.2047,3,300,327,"Barcelona - Regional registration number<br />HUTB-005062",3,3,38,"Mediano (2-5)",0
212782153,6,"Catalonia, Spain","f","La Maternitat i Sant Ramon",1,2,"la Maternitat i Sant Ramon","Les Corts",41.38732,2.12515,30,32,88,"",1,0,277,"Pequeño (1)",0
154720571,8,"Barcelona, Spain","f","",1,5,"el Camp de l'Arpa del Clot","Sant Martí",41.4109,2.17856,32,365,121,"",1,0,244,"Pequeño (1)",0
555252525,1,"","f","",5,5,"Sant Antoni","Eixample",41.37636,2.15265,4,30,168,"Spain - National registration number<br />ESFCTU00000806900001652900000000000000000HUTB-0093116",5,5,197,"Mediano (2-5)",0
47171261,10,"Barcelona, Spain","f","La Vila Olímpica",107,139,"la Dreta de l'Eixample","Eixample",41.39946,2.17304,2,120,362,"Barcelona - Regional registration number<br />HUTB-003740<br /><br />Spain - National registration number<br />ESHFTU00000805400033267000400000000000000HUTB-0037407",60,60,3,"Gran tenedor (>20)",0
10116421,12,"Barcelona, Spain","t","La Nova Esquerra de l'Eixample",34,39,"l'Antiga Esquerra de l'Eixample","Eixample",41.3896,2.16191,1,365,345,"Barcelona - Regional registration number<br />HUTB-010063<br /><br />Spain - National registration number<br />ESFCTU000008056000681635000000000000000CCAAHUTB010063",6,6,20,"Profesional (6-20)",1
180908619,7,"Barcelona, Spain","f","El Camp de l'Arpa del Clot",66,105,"el Camp de l'Arpa del Clot","Sant Martí",41.41093,2.1772,31,1125,328,"",37,2,37,"Gran tenedor (>20)",0
5614931,12,"Barcelona, Spain","f","Dreta de l'Eixample",44,45,"la Dreta de l'Eixample","Eixample",41.39116,2.17127,1,365,248,"Barcelona - Regional registration number<br />HUTB-356284<br /><br />Spain - National registration number<br />ESFCTU00000805400017862900000000000000HUTB-003562-841",44,44,117,"Gran tenedor (>20)",0
1743413,13,"San Francisco, CA","f","El Born",2,5,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella",41.38525,2.1799,31,1125,15,"",1,1,350,"Pequeño (1)",0
2818497,12,"Barcelona, Spain","t","",1,7,"la Vila de Gràcia","Gràcia",41.401,2.15607,1,1125,197,"Barcelona - Regional registration number<br />HUTB-002296<br /><br />Spain - National registration number<br />ESHFTU00000806600000280400600000000000000HUTB-0022964",1,1,168,"Pequeño (1)",1
6544866,12,"Barcelona, Spain","t","Dreta de l'Eixample",12,12,"la Dreta de l'Eixample","Eixample",41.39264,2.17275,1,365,160,"Barcelona - Regional registration number<br />HUTB-008663<br /><br />Spain - National registration number<br />ESFCTU00000805400054186700000000000000000000000086637",12,12,205,"Profesional (6-20)",1
36607755,10,"Barcelona, Spain","f","Dreta de l'Eixample",142,143,"la Vila de Gràcia","Gràcia",41.4063,2.15135,32,365,364,"",136,0,1,"Gran tenedor (>20)",0
36607755,10,"Barcelona, Spain","f","Dreta de l'Eixample",142,143,"la Vila de Gràcia","Gràcia",41.40583,2.15154,32,365,364,"",136,0,1,"Gran tenedor (>20)",0
36607755,10,"Barcelona, Spain","f","Dreta de l'Eixample",142,143,"la Vila de Gràcia","Gràcia",41.40625,2.15093,32,365,364,"",136,0,1,"Gran tenedor (>20)",0
